,FIPS,Area Name,time_value,issue,Daily Deaths
0,36001,Albany County,2020-01-25,2020-10-17,0.0
1,36003,Allegany County,2020-01-25,2020-10-17,0.0
2,36005,Bronx County,2020-01-25,2020-10-17,0.0
3,36007,Broome County,2020-01-25,2020-10-17,0.0
4,36009,Cattaraugus County,2020-01-25,2020-10-17,0.0
5,36011,Cayuga County,2020-01-25,2020-10-17,0.0
6,36013,Chautauqua County,2020-01-25,2020-10-17,0.0
7,36015,Chemung County,2020-01-25,2020-10-17,0.0
8,36017,Chenango County,2020-01-25,2020-10-17,0.0
9,36019,Clinton County,2020-01-25,2020-10-17,0.0
10,36021,Columbia County,2020-01-25,2020-10-17,0.0
11,36023,Cortland County,2020-01-25,2020-10-17,0.0
12,36025,Delaware County,2020-01-25,2020-10-17,0.0
13,36027,Dutchess County,2020-01-25,2020-10-17,0.0
14,36029,Erie County,2020-01-25,2020-10-17,0.0
15,36031,Essex County,2020-01-25,2020-10-17,0.0
16,36033,Franklin County,2020-01-25,2020-10-17,0.0
17,36035,Fulton County,2020-01-25,2020-10-17,0.0
18,36037,Genesee County,2020-01-25,2020-10-17,0.0
19,36039,Greene County,2020-01-25,2020-10-17,0.0
20,36041,Hamilton County,2020-01-25,2020-10-17,0.0
21,36043,Herkimer County,2020-01-25,2020-10-17,0.0
22,36045,Jefferson County,2020-01-25,2020-10-17,0.0
23,36047,Kings County,2020-01-25,2020-10-17,0.0
24,36049,Lewis County,2020-01-25,2020-10-17,0.0
25,36051,Livingston County,2020-01-25,2020-10-17,0.0
26,36053,Madison County,2020-01-25,2020-10-17,0.0
27,36055,Monroe County,2020-01-25,2020-10-17,0.0
28,36057,Montgomery County,2020-01-25,2020-10-17,0.0
29,36059,Nassau County,2020-01-25,2020-10-17,0.0
30,36061,New York County,2020-01-25,2020-10-17,0.0
31,36063,Niagara County,2020-01-25,2020-10-17,0.0
32,36065,Oneida County,2020-01-25,2020-10-17,0.0
33,36067,Onondaga County,2020-01-25,2020-10-17,0.0
34,36069,Ontario County,2020-01-25,2020-10-17,0.0
35,36071,Orange County,2020-01-25,2020-10-17,0.0
36,36073,Orleans County,2020-01-25,2020-10-17,0.0
37,36075,Oswego County,2020-01-25,2020-10-17,0.0
38,36077,Otsego County,2020-01-25,2020-10-17,0.0
39,36079,Putnam County,2020-01-25,2020-10-17,0.0
40,36081,Queens County,2020-01-25,2020-10-17,0.0
41,36083,Rensselaer County,2020-01-25,2020-10-17,0.0
42,36085,Richmond County,2020-01-25,2020-10-17,0.0
43,36087,Rockland County,2020-01-25,2020-10-17,0.0
44,36089,St. Lawrence County,2020-01-25,2020-10-17,0.0
45,36091,Saratoga County,2020-01-25,2020-10-17,0.0
46,36093,Schenectady County,2020-01-25,2020-10-17,0.0
47,36095,Schoharie County,2020-01-25,2020-10-17,0.0
48,36097,Schuyler County,2020-01-25,2020-10-17,0.0
49,36099,Seneca County,2020-01-25,2020-10-17,0.0
50,36101,Steuben County,2020-01-25,2020-10-17,0.0
51,36103,Suffolk County,2020-01-25,2020-10-17,0.0
52,36105,Sullivan County,2020-01-25,2020-10-17,0.0
53,36107,Tioga County,2020-01-25,2020-10-17,0.0
54,36109,Tompkins County,2020-01-25,2020-10-17,0.0
55,36111,Ulster County,2020-01-25,2020-10-17,0.0
56,36113,Warren County,2020-01-25,2020-10-17,0.0
57,36115,Washington County,2020-01-25,2020-10-17,0.0
58,36117,Wayne County,2020-01-25,2020-10-17,0.0
59,36119,Westchester County,2020-01-25,2020-10-17,0.0
60,36121,Wyoming County,2020-01-25,2020-10-17,0.0
61,36123,Yates County,2020-01-25,2020-10-17,0.0
62,36001,Albany County,2020-01-26,2020-10-17,0.0
63,36003,Allegany County,2020-01-26,2020-10-17,0.0
64,36005,Bronx County,2020-01-26,2020-10-17,0.0
65,36007,Broome County,2020-01-26,2020-10-17,0.0
66,36009,Cattaraugus County,2020-01-26,2020-10-17,0.0
67,36011,Cayuga County,2020-01-26,2020-10-17,0.0
68,36013,Chautauqua County,2020-01-26,2020-10-17,0.0
69,36015,Chemung County,2020-01-26,2020-10-17,0.0
70,36017,Chenango County,2020-01-26,2020-10-17,0.0
71,36019,Clinton County,2020-01-26,2020-10-17,0.0
72,36021,Columbia County,2020-01-26,2020-10-17,0.0
73,36023,Cortland County,2020-01-26,2020-10-17,0.0
74,36025,Delaware County,2020-01-26,2020-10-17,0.0
75,36027,Dutchess County,2020-01-26,2020-10-17,0.0
76,36029,Erie County,2020-01-26,2020-10-17,0.0
77,36031,Essex County,2020-01-26,2020-10-17,0.0
78,36033,Franklin County,2020-01-26,2020-10-17,0.0
79,36035,Fulton County,2020-01-26,2020-10-17,0.0
80,36037,Genesee County,2020-01-26,2020-10-17,0.0
81,36039,Greene County,2020-01-26,2020-10-17,0.0
82,36041,Hamilton County,2020-01-26,2020-10-17,0.0
83,36043,Herkimer County,2020-01-26,2020-10-17,0.0
84,36045,Jefferson County,2020-01-26,2020-10-17,0.0
85,36047,Kings County,2020-01-26,2020-10-17,0.0
86,36049,Lewis County,2020-01-26,2020-10-17,0.0
87,36051,Livingston County,2020-01-26,2020-10-17,0.0
88,36053,Madison County,2020-01-26,2020-10-17,0.0
89,36055,Monroe County,2020-01-26,2020-10-17,0.0
90,36057,Montgomery County,2020-01-26,2020-10-17,0.0
91,36059,Nassau County,2020-01-26,2020-10-17,0.0
92,36061,New York County,2020-01-26,2020-10-17,0.0
93,36063,Niagara County,2020-01-26,2020-10-17,0.0
94,36065,Oneida County,2020-01-26,2020-10-17,0.0
95,36067,Onondaga County,2020-01-26,2020-10-17,0.0
96,36069,Ontario County,2020-01-26,2020-10-17,0.0
97,36071,Orange County,2020-01-26,2020-10-17,0.0
98,36073,Orleans County,2020-01-26,2020-10-17,0.0
99,36075,Oswego County,2020-01-26,2020-10-17,0.0
100,36077,Otsego County,2020-01-26,2020-10-17,0.0
101,36079,Putnam County,2020-01-26,2020-10-17,0.0
102,36081,Queens County,2020-01-26,2020-10-17,0.0
103,36083,Rensselaer County,2020-01-26,2020-10-17,0.0
104,36085,Richmond County,2020-01-26,2020-10-17,0.0
105,36087,Rockland County,2020-01-26,2020-10-17,0.0
106,36089,St. Lawrence County,2020-01-26,2020-10-17,0.0
107,36091,Saratoga County,2020-01-26,2020-10-17,0.0
108,36093,Schenectady County,2020-01-26,2020-10-17,0.0
109,36095,Schoharie County,2020-01-26,2020-10-17,0.0
110,36097,Schuyler County,2020-01-26,2020-10-17,0.0
111,36099,Seneca County,2020-01-26,2020-10-17,0.0
112,36101,Steuben County,2020-01-26,2020-10-17,0.0
113,36103,Suffolk County,2020-01-26,2020-10-17,0.0
114,36105,Sullivan County,2020-01-26,2020-10-17,0.0
115,36107,Tioga County,2020-01-26,2020-10-17,0.0
116,36109,Tompkins County,2020-01-26,2020-10-17,0.0
117,36111,Ulster County,2020-01-26,2020-10-17,0.0
118,36113,Warren County,2020-01-26,2020-10-17,0.0
119,36115,Washington County,2020-01-26,2020-10-17,0.0
120,36117,Wayne County,2020-01-26,2020-10-17,0.0
121,36119,Westchester County,2020-01-26,2020-10-17,0.0
122,36121,Wyoming County,2020-01-26,2020-10-17,0.0
123,36123,Yates County,2020-01-26,2020-10-17,0.0
124,36001,Albany County,2020-01-27,2020-10-17,0.0
125,36003,Allegany County,2020-01-27,2020-10-17,0.0
126,36005,Bronx County,2020-01-27,2020-10-17,0.0
127,36007,Broome County,2020-01-27,2020-10-17,0.0
128,36009,Cattaraugus County,2020-01-27,2020-10-17,0.0
129,36011,Cayuga County,2020-01-27,2020-10-17,0.0
130,36013,Chautauqua County,2020-01-27,2020-10-17,0.0
131,36015,Chemung County,2020-01-27,2020-10-17,0.0
132,36017,Chenango County,2020-01-27,2020-10-17,0.0
133,36019,Clinton County,2020-01-27,2020-10-17,0.0
134,36021,Columbia County,2020-01-27,2020-10-17,0.0
135,36023,Cortland County,2020-01-27,2020-10-17,0.0
136,36025,Delaware County,2020-01-27,2020-10-17,0.0
137,36027,Dutchess County,2020-01-27,2020-10-17,0.0
138,36029,Erie County,2020-01-27,2020-10-17,0.0
139,36031,Essex County,2020-01-27,2020-10-17,0.0
140,36033,Franklin County,2020-01-27,2020-10-17,0.0
141,36035,Fulton County,2020-01-27,2020-10-17,0.0
142,36037,Genesee County,2020-01-27,2020-10-17,0.0
143,36039,Greene County,2020-01-27,2020-10-17,0.0
144,36041,Hamilton County,2020-01-27,2020-10-17,0.0
145,36043,Herkimer County,2020-01-27,2020-10-17,0.0
146,36045,Jefferson County,2020-01-27,2020-10-17,0.0
147,36047,Kings County,2020-01-27,2020-10-17,0.0
