,FIPS,time_value,issue,value,State Name,Area Name
0,4013,2020-09-08,2020-11-19,6.263349,Arizona,Maricopa County
1,4019,2020-09-08,2020-11-19,7.521617599999999,Arizona,Pima County
2,6001,2020-09-08,2020-11-19,7.412865200000001,California,Alameda County
3,6013,2020-09-08,2020-11-19,7.4567156,California,Contra Costa County
4,6037,2020-09-08,2020-11-19,11.1004664,California,Los Angeles County
5,6059,2020-09-08,2020-11-19,5.906587,California,Orange County
6,6065,2020-09-08,2020-11-19,8.615431300000001,California,Riverside County
7,6071,2020-09-08,2020-11-19,5.2711863,California,San Bernardino County
8,6073,2020-09-08,2020-11-19,4.0668318999999995,California,San Diego County
9,6085,2020-09-08,2020-11-19,4.5161845000000005,California,Santa Clara County
10,8041,2020-09-08,2020-11-19,6.7361962,Colorado,El Paso County
11,9001,2020-09-08,2020-11-19,12.499965300000001,Connecticut,Fairfield County
12,12057,2020-09-08,2020-11-19,5.224183999999999,Florida,Hillsborough County
13,12086,2020-09-08,2020-11-19,10.5932383,Florida,Miami-Dade County
14,12103,2020-09-08,2020-11-19,8.4070796,Florida,Pinellas County
15,17031,2020-09-08,2020-11-19,8.8273878,Illinois,Cook County
16,25017,2020-09-08,2020-11-19,8.1639971,Massachusetts,Middlesex County
17,26125,2020-09-08,2020-11-19,6.7769151,Michigan,Oakland County
18,26163,2020-09-08,2020-11-19,12.368001800000002,Michigan,Wayne County
19,32003,2020-09-08,2020-11-19,10.333333300000001,Nevada,Clark County
20,42003,2020-09-08,2020-11-19,4.6062532,Pennsylvania,Allegheny County
21,48029,2020-09-08,2020-11-19,3.4363443999999994,Texas,Bexar County
22,48113,2020-09-08,2020-11-19,8.585919,Texas,Dallas County
23,48201,2020-09-08,2020-11-19,7.5195186000000005,Texas,Harris County
24,48439,2020-09-08,2020-11-19,9.0769455,Texas,Tarrant County
25,48453,2020-09-08,2020-11-19,5.8714252,Texas,Travis County
26,53033,2020-09-08,2020-11-19,5.2423469,Washington,King County
27,53053,2020-09-08,2020-11-19,8.8664469,Washington,Pierce County
28,55025,2020-09-08,2020-11-19,15.4110789,Wisconsin,Dane County
29,1073,2020-09-09,2020-11-19,9.1814726,Alabama,Jefferson County
30,1089,2020-09-09,2020-11-19,5.8725917,Alabama,Madison County
31,1097,2020-09-09,2020-11-19,6.9483947,Alabama,Mobile County
32,2020,2020-09-09,2020-11-19,13.063392599999998,Alaska,Anchorage Municipality
33,4013,2020-09-09,2020-11-19,5.7179473,Arizona,Maricopa County
34,4019,2020-09-09,2020-11-19,8.9574942,Arizona,Pima County
35,4021,2020-09-09,2020-11-19,8.20536,Arizona,Pinal County
36,6001,2020-09-09,2020-11-19,9.6642296,California,Alameda County
37,6013,2020-09-09,2020-11-19,7.1977863,California,Contra Costa County
38,6019,2020-09-09,2020-11-19,9.7122177,California,Fresno County
39,6029,2020-09-09,2020-11-19,7.0254685,California,Kern County
40,6037,2020-09-09,2020-11-19,10.6944993,California,Los Angeles County
41,6059,2020-09-09,2020-11-19,7.4238681,California,Orange County
42,6065,2020-09-09,2020-11-19,10.0657785,California,Riverside County
43,6067,2020-09-09,2020-11-19,9.4697022,California,Sacramento County
44,6071,2020-09-09,2020-11-19,6.0722819,California,San Bernardino County
45,6073,2020-09-09,2020-11-19,5.7727535,California,San Diego County
46,6075,2020-09-09,2020-11-19,11.8131868,California,San Francisco County
47,6077,2020-09-09,2020-11-19,10.5464184,California,San Joaquin County
48,6081,2020-09-09,2020-11-19,8.2563658,California,San Mateo County
49,6083,2020-09-09,2020-11-19,9.6595257,California,Santa Barbara County
50,6085,2020-09-09,2020-11-19,6.1632926,California,Santa Clara County
51,6095,2020-09-09,2020-11-19,3.4354614000000003,California,Solano County
52,6097,2020-09-09,2020-11-19,5.6580321,California,Sonoma County
