,FIPS,time_value,issue,value,State Name,Area Name
0,4013,2020-09-08,2020-11-19,90.151765,Arizona,Maricopa County
1,4019,2020-09-08,2020-11-19,88.4630225,Arizona,Pima County
2,6001,2020-09-08,2020-11-19,97.6302292,California,Alameda County
3,6013,2020-09-08,2020-11-19,95.3603686,California,Contra Costa County
4,6037,2020-09-08,2020-11-19,94.082879,California,Los Angeles County
5,6059,2020-09-08,2020-11-19,87.1629792,California,Orange County
6,6065,2020-09-08,2020-11-19,92.62961290000001,California,Riverside County
7,6071,2020-09-08,2020-11-19,92.1600309,California,San Bernardino County
8,6073,2020-09-08,2020-11-19,93.5241511,California,San Diego County
9,6085,2020-09-08,2020-11-19,93.1074668,California,Santa Clara County
10,12086,2020-09-08,2020-11-19,93.62745100000001,Florida,Miami-Dade County
11,12103,2020-09-08,2020-11-19,87.1428571,Florida,Pinellas County
12,17031,2020-09-08,2020-11-19,90.63437370000001,Illinois,Cook County
13,25017,2020-09-08,2020-11-19,95.6207789,Massachusetts,Middlesex County
14,26125,2020-09-08,2020-11-19,90.0024295,Michigan,Oakland County
15,26163,2020-09-08,2020-11-19,85.9619896,Michigan,Wayne County
16,32003,2020-09-08,2020-11-19,94.31818179999999,Nevada,Clark County
17,42003,2020-09-08,2020-11-19,93.53693790000001,Pennsylvania,Allegheny County
18,48113,2020-09-08,2020-11-19,90.4286175,Texas,Dallas County
19,48201,2020-09-08,2020-11-19,92.18533409999999,Texas,Harris County
20,48453,2020-09-08,2020-11-19,97.3672269,Texas,Travis County
21,53033,2020-09-08,2020-11-19,91.5642571,Washington,King County
22,53053,2020-09-08,2020-11-19,90.3184114,Washington,Pierce County
23,1089,2020-09-09,2020-11-19,88.24824040000001,Alabama,Madison County
24,2020,2020-09-09,2020-11-19,79.1661265,Alaska,Anchorage Municipality
25,4013,2020-09-09,2020-11-19,88.129177,Arizona,Maricopa County
26,4019,2020-09-09,2020-11-19,90.0631595,Arizona,Pima County
27,6001,2020-09-09,2020-11-19,97.52662109999999,California,Alameda County
28,6013,2020-09-09,2020-11-19,94.63049720000001,California,Contra Costa County
29,6019,2020-09-09,2020-11-19,89.467473,California,Fresno County
30,6029,2020-09-09,2020-11-19,85.604359,California,Kern County
31,6037,2020-09-09,2020-11-19,93.2295731,California,Los Angeles County
32,6059,2020-09-09,2020-11-19,87.5575824,California,Orange County
33,6065,2020-09-09,2020-11-19,92.40573409999999,California,Riverside County
34,6067,2020-09-09,2020-11-19,89.2704988,California,Sacramento County
35,6071,2020-09-09,2020-11-19,88.1255624,California,San Bernardino County
36,6073,2020-09-09,2020-11-19,91.52424859999999,California,San Diego County
37,6075,2020-09-09,2020-11-19,97.36842109999999,California,San Francisco County
38,6077,2020-09-09,2020-11-19,91.4631215,California,San Joaquin County
39,6081,2020-09-09,2020-11-19,93.71265770000001,California,San Mateo County
40,6083,2020-09-09,2020-11-19,87.99856820000001,California,Santa Barbara County
41,6085,2020-09-09,2020-11-19,93.3635962,California,Santa Clara County
42,6097,2020-09-09,2020-11-19,95.0773872,California,Sonoma County
43,6099,2020-09-09,2020-11-19,88.8109643,California,Stanislaus County
44,6111,2020-09-09,2020-11-19,89.52955250000001,California,Ventura County
45,8005,2020-09-09,2020-11-19,93.51025770000001,Colorado,Arapahoe County
46,8013,2020-09-09,2020-11-19,88.694087,Colorado,Boulder County
47,8031,2020-09-09,2020-11-19,93.8947963,Colorado,Denver County
48,8041,2020-09-09,2020-11-19,81.9365622,Colorado,El Paso County
49,8059,2020-09-09,2020-11-19,87.01253129999999,Colorado,Jefferson County
50,8069,2020-09-09,2020-11-19,87.92197709999999,Colorado,Larimer County
51,9001,2020-09-09,2020-11-19,93.39469059999999,Connecticut,Fairfield County
52,9003,2020-09-09,2020-11-19,91.8839809,Connecticut,Hartford County
53,9009,2020-09-09,2020-11-19,88.19840529999999,Connecticut,New Haven County
54,10003,2020-09-09,2020-11-19,90.5750598,Delaware,New Castle County
55,11001,2020-09-09,2020-11-19,96.8531469,District of Columbia,District Of Columbia
56,12009,2020-09-09,2020-11-19,86.93161540000001,Florida,Brevard County
57,12011,2020-09-09,2020-11-19,94.53125,Florida,Broward County
58,12031,2020-09-09,2020-11-19,87.116967,Florida,Duval County
59,12057,2020-09-09,2020-11-19,89.5997234,Florida,Hillsborough County
60,12071,2020-09-09,2020-11-19,82.426838,Florida,Lee County
61,12081,2020-09-09,2020-11-19,90.4434489,Florida,Manatee County
62,12083,2020-09-09,2020-11-19,79.9647263,Florida,Marion County
63,12086,2020-09-09,2020-11-19,94.1860465,Florida,Miami-Dade County
64,12095,2020-09-09,2020-11-19,89.5414655,Florida,Orange County
65,12099,2020-09-09,2020-11-19,94.2039354,Florida,Palm Beach County
66,12101,2020-09-09,2020-11-19,89.5704022,Florida,Pasco County
67,12103,2020-09-09,2020-11-19,89.53125,Florida,Pinellas County
68,12105,2020-09-09,2020-11-19,88.20680909999999,Florida,Polk County
69,12115,2020-09-09,2020-11-19,89.7314125,Florida,Sarasota County
70,12127,2020-09-09,2020-11-19,81.8469307,Florida,Volusia County
71,13067,2020-09-09,2020-11-19,83.66619969999999,Georgia,Cobb County
72,13121,2020-09-09,2020-11-19,91.0891958,Georgia,Fulton County
73,13135,2020-09-09,2020-11-19,86.7291122,Georgia,Gwinnett County
74,15003,2020-09-09,2020-11-19,93.2160804,Hawaii,Honolulu County
75,16001,2020-09-09,2020-11-19,84.22072390000001,Idaho,Ada County
76,17031,2020-09-09,2020-11-19,92.10992929999999,Illinois,Cook County
77,17043,2020-09-09,2020-11-19,88.5229853,Illinois,Dupage County
78,17089,2020-09-09,2020-11-19,91.44866409999999,Illinois,Kane County
79,17097,2020-09-09,2020-11-19,91.3751542,Illinois,Lake County
80,17111,2020-09-09,2020-11-19,85.51406690000002,Illinois,Mchenry County
81,17197,2020-09-09,2020-11-19,88.18694980000001,Illinois,Will County
82,18003,2020-09-09,2020-11-19,79.6639194,Indiana,Allen County
83,18089,2020-09-09,2020-11-19,86.9534417,Indiana,Lake County
84,18097,2020-09-09,2020-11-19,89.0683321,Indiana,Marion County
85,19153,2020-09-09,2020-11-19,84.29785,Iowa,Polk County
86,20091,2020-09-09,2020-11-19,92.7282098,Kansas,Johnson County
87,20173,2020-09-09,2020-11-19,81.7776318,Kansas,Sedgwick County
88,21111,2020-09-09,2020-11-19,88.2267477,Kentucky,Jefferson County
