,State FIPS,County FIPS,FIPS,State Name,Area Name
0,1,1,1001,Alabama,Autauga County
1,1,3,1003,Alabama,Baldwin County
2,1,5,1005,Alabama,Barbour County
3,1,7,1007,Alabama,Bibb County
4,1,9,1009,Alabama,Blount County
5,1,11,1011,Alabama,Bullock County
6,1,13,1013,Alabama,Butler County
7,1,15,1015,Alabama,Calhoun County
8,1,17,1017,Alabama,Chambers County
9,1,19,1019,Alabama,Cherokee County
10,1,21,1021,Alabama,Chilton County
11,1,23,1023,Alabama,Choctaw County
12,1,25,1025,Alabama,Clarke County
13,1,27,1027,Alabama,Clay County
14,1,29,1029,Alabama,Cleburne County
15,1,31,1031,Alabama,Coffee County
16,1,33,1033,Alabama,Colbert County
17,1,35,1035,Alabama,Conecuh County
18,1,37,1037,Alabama,Coosa County
19,1,39,1039,Alabama,Covington County
20,1,41,1041,Alabama,Crenshaw County
21,1,43,1043,Alabama,Cullman County
22,1,45,1045,Alabama,Dale County
23,1,47,1047,Alabama,Dallas County
24,1,49,1049,Alabama,Dekalb County
25,1,51,1051,Alabama,Elmore County
26,1,53,1053,Alabama,Escambia County
27,1,55,1055,Alabama,Etowah County
28,1,57,1057,Alabama,Fayette County
29,1,59,1059,Alabama,Franklin County
30,1,61,1061,Alabama,Geneva County
31,1,63,1063,Alabama,Greene County
32,1,65,1065,Alabama,Hale County
33,1,67,1067,Alabama,Henry County
34,1,69,1069,Alabama,Houston County
35,1,71,1071,Alabama,Jackson County
36,1,73,1073,Alabama,Jefferson County
37,1,75,1075,Alabama,Lamar County
38,1,77,1077,Alabama,Lauderdale County
39,1,79,1079,Alabama,Lawrence County
40,1,81,1081,Alabama,Lee County
41,1,83,1083,Alabama,Limestone County
42,1,85,1085,Alabama,Lowndes County
43,1,87,1087,Alabama,Macon County
44,1,89,1089,Alabama,Madison County
45,1,91,1091,Alabama,Marengo County
46,1,93,1093,Alabama,Marion County
47,1,95,1095,Alabama,Marshall County
48,1,97,1097,Alabama,Mobile County
49,1,99,1099,Alabama,Monroe County
50,1,101,1101,Alabama,Montgomery County
51,1,103,1103,Alabama,Morgan County
52,1,105,1105,Alabama,Perry County
53,1,107,1107,Alabama,Pickens County
54,1,109,1109,Alabama,Pike County
55,1,111,1111,Alabama,Randolph County
56,1,113,1113,Alabama,Russell County
57,1,115,1115,Alabama,St. Clair County
58,1,117,1117,Alabama,Shelby County
59,1,119,1119,Alabama,Sumter County
60,1,121,1121,Alabama,Talladega County
61,1,123,1123,Alabama,Tallapoosa County
62,1,125,1125,Alabama,Tuscaloosa County
63,1,127,1127,Alabama,Walker County
64,1,129,1129,Alabama,Washington County
65,1,131,1131,Alabama,Wilcox County
66,1,133,1133,Alabama,Winston County
67,2,13,2013,Alaska,Aleutians East Borough
68,2,16,2016,Alaska,Aleutians West Census Area
69,2,20,2020,Alaska,Anchorage Municipality
70,2,50,2050,Alaska,Bethel Census Area
71,2,60,2060,Alaska,Bristol Bay Borough
72,2,68,2068,Alaska,Denali Borough
73,2,70,2070,Alaska,Dillingham Census Area
74,2,90,2090,Alaska,Fairbanks North Star Borough
75,2,100,2100,Alaska,Haines Borough
76,2,105,2105,Alaska,Hoonah-Angoon Census Area
77,2,110,2110,Alaska,Juneau City And Borough
78,2,122,2122,Alaska,Kenai Peninsula Borough
79,2,130,2130,Alaska,Ketchikan Gateway Borough
80,2,150,2150,Alaska,Kodiak Island Borough
81,2,158,2158,Alaska,Kusilvak Census Area
82,2,164,2164,Alaska,Lake And Peninsula Borough
83,2,170,2170,Alaska,Matanuska-Susitna Borough
84,2,180,2180,Alaska,Nome Census Area
85,2,185,2185,Alaska,North Slope Borough
