,FIPS,Name,% Population in Poverty (2018),% Children in Poverty (2018),Unemployment Rate (2018),Median Household Income (2018),% of State Median HH Income,% Complete College (2014-2018),% Complete High School (2014-2018),% Incomplete High School (2014-2018)
0,36000,New York,13.7,18.8,4.1,67648.0,1.0,35.9254382992872,26.136716245997597,13.521995845760701
1,36001,Albany,11.3,15.3,3.7,64536.0,0.953997161778619,41.2808238268242,24.1114082998792,7.349309810326201
2,36003,Allegany,17.0,22.8,5.6,46262.0,0.683863528855251,20.2354501741005,36.6506383684298,10.0248714972641
3,36005,Bronx,27.3,37.6,5.8,38566.0,0.570098155156102,19.816758770615202,27.6395166517519,28.021386439456503
4,36007,Broome,17.3,23.9,4.9,50928.0,0.752838221381268,28.285381930981004,31.0810391624661,9.54866227219853
5,36009,Cattaraugus,17.1,24.4,5.3,48017.0,0.709806646168401,19.1137092211955,39.3531963039789,11.5217801244579
6,36011,Cayuga,13.0,17.6,4.5,52945.0,0.782654328287606,22.3192738536902,32.9683391564312,12.2681266433743
7,36013,Chautauqua,18.3,27.0,5.0,45689.0,0.67539321192053,21.7253889470053,35.858799439115,11.111976674308401
8,36015,Chemung,13.5,20.0,4.6,52565.0,0.777037015137181,23.859748669081,36.0157540762003,9.6610537207323
9,36017,Chenango,15.1,22.3,4.7,50312.0,0.743732261116367,18.326658540832298,39.0011027918045,11.8288931452783
10,36019,Clinton,13.2,16.9,4.4,55517.0,0.820674668874172,22.9064308330604,37.3130254394585,12.1155875823416
11,36021,Columbia,11.7,16.4,3.3,64916.0,0.959614474929045,31.2678156382932,30.517914309520698,9.63031180107881
12,36023,Cortland,16.9,18.4,5.1,51751.0,0.765004139072848,26.8748756713746,32.656985611033804,9.28320403156289
13,36025,Delaware,15.9,26.2,4.8,47382.0,0.700419820245979,21.9472147895889,37.6611530041352,11.7824130381902
14,36027,Dutchess,9.2,11.0,3.7,79604.0,1.17673841059603,35.191842124569,26.2416550509867,9.45198444721591
15,36029,Erie,13.7,19.2,4.4,56375.0,0.833357970671712,33.6541284702965,27.7452840007892,8.61035896432106
16,36031,Essex,11.7,16.1,4.8,54376.0,0.803807947019868,27.566043646235798,32.8947826389614,8.861508475166199
17,36033,Franklin,16.7,22.1,5.1,48722.0,0.720228240302744,19.4295001120825,37.606478368078896,13.1752970186057
18,36035,Fulton,13.0,19.8,5.1,51388.0,0.759638126773888,17.7538860103627,35.738341968911904,12.6217616580311
19,36037,Genesee,9.9,14.1,4.2,58925.0,0.871053098391675,21.5461044468678,36.604870956016,7.94135465891191
20,36039,Greene,13.0,17.9,4.6,54514.0,0.805847918637654,22.0820278318796,38.1799192706128,12.7670985406611
21,36041,Hamilton,9.1,15.5,6.9,59020.0,0.872457426679281,19.2590497737557,28.4785067873303,17.4490950226244
22,36043,Herkimer,13.5,20.1,4.9,53168.0,0.785950804162725,20.9561171425965,37.0312927652586,10.0515463917526
23,36045,Jefferson,12.3,16.0,5.6,52798.0,0.780481315042573,22.267821857425098,33.978637261811,8.92232862137103
24,36047,Kings,18.9,26.0,4.3,60862.0,0.899686613055818,36.486126842069396,25.617727303673398,18.3690142414171
25,36049,Lewis,12.2,18.0,5.6,52660.0,0.778441343424787,16.3065367659065,46.0948130408752,10.172535786208
26,36051,Livingston,12.5,14.1,4.3,61027.0,0.902125709555345,25.377749666174697,32.883547684306706,10.3146156909598
27,36053,Madison,10.8,14.3,4.8,59114.0,0.87384697256386,26.9506951112595,34.0479271907486,8.79848035736651
28,36055,Monroe,14.4,18.9,4.3,60240.0,0.890491958372753,37.6647874853577,23.9687682417053,9.69038561740704
29,36057,Montgomery,15.8,24.7,5.2,43799.0,0.647454470198676,17.4670446906147,35.1562271651127,14.181743781603501
30,36059,Nassau,5.8,7.6,3.5,115301.0,1.70442585146641,45.1926941027631,23.0211245893622,8.754000063788391
31,36061,New York,15.6,19.7,3.7,84610.0,1.25073912015137,60.8084864454389,12.4329729421982,13.009443728544701
32,36063,Niagara,13.0,18.5,5.2,55013.0,0.813224337748344,23.7698114961456,34.2009335555452,8.80237970346664
33,36065,Oneida,14.8,20.1,4.5,54096.0,0.799668874172185,24.683103233948,32.864344954451,11.420212331820299
34,36067,Onondaga,13.7,20.2,4.0,59786.0,0.883780747398297,35.4557780889444,25.2678531828751,9.295503361232731
35,36069,Ontario,8.5,11.1,3.9,62930.0,0.930256622516556,34.5010034665207,26.7612792243334,6.5759637188208595
36,36071,Orange,11.5,17.5,3.9,75048.0,1.10938978240303,29.7989357374708,29.658223960019598,10.283166886658499
37,36073,Orleans,12.6,17.6,5.0,52658.0,0.778411778618732,15.884854211663098,38.8195194384449,12.894843412526999
38,36075,Oswego,16.1,23.0,5.5,53745.0,0.794480250709555,18.5828893685511,37.6486294276909,12.2322174949157
39,36077,Otsego,12.5,15.9,4.4,54321.0,0.802994914853359,30.8843060114767,32.024456862204595,8.76287368130904
40,36079,Putnam,6.0,6.6,3.7,100887.0,1.49135229422895,39.8688440638425,26.9225298017013,7.04287461947708
41,36081,Queens,11.6,15.2,3.7,68432.0,1.01158940397351,31.526020254444,27.584105995665297,18.4589152598381
42,36083,Rensselaer,11.1,15.5,3.9,71084.0,1.05079233680227,30.1425973605085,29.090221638069202,8.37399398642444
43,36085,Richmond,11.7,15.2,4.2,79719.0,1.17843838694418,32.9505738350677,30.9466377493133,11.459971467941001
44,36087,Rockland,13.9,23.2,3.7,88960.0,1.31504257332072,40.6036096683685,22.4894230721983,12.0780899124854
45,36089,St. Lawrence,15.1,20.0,5.6,49356.0,0.729600283822138,23.6236361612113,36.9099309730572,11.2725450901804
46,36091,Saratoga,6.3,7.4,3.5,83210.0,1.23004375591296,41.4271826023419,24.4834141417894,5.88756168998037
47,36093,Schenectady,11.3,17.3,4.0,63297.0,0.935681764427625,31.394913986537,29.3408750934929,9.70549738219895
48,36095,Schoharie,11.8,16.1,4.8,57757.0,0.853787251655629,22.2917604682575,36.9428185502026,10.3827104907699
49,36097,Schuyler,13.5,21.1,5.1,50190.0,0.74192880794702,22.25,36.5454545454545,10.7121212121212
50,36099,Seneca,12.6,19.9,3.9,54184.0,0.8009697256386,20.888602185219497,34.9352900858767,14.562754505503401
51,36101,Steuben,12.8,18.7,4.9,54862.0,0.810992194891202,23.1074351026165,37.3723721517872,10.0060232998869
52,36103,Suffolk,7.3,9.4,3.8,100075.0,1.47934898297067,35.6085612643611,27.9483291537878,9.58447541844054
53,36105,Sullivan,16.2,24.4,4.1,51985.0,0.768463221381268,23.189770437468198,33.585054895388,13.8302480179281
54,36107,Tioga,10.2,15.2,4.4,60309.0,0.891511944181646,25.472811537465102,36.1236650450502,9.18852010708426
55,36109,Tompkins,16.8,13.7,3.6,57383.0,0.848258632923368,52.7115185172794,19.390451975511,5.76594961694155
56,36111,Ulster,14.3,16.2,3.9,63073.0,0.93237050614948,32.206846658252,29.7501770156697,9.46264199735246
57,36113,Warren,10.8,15.5,4.7,56694.0,0.838073557237465,30.004184975936397,31.830926972169898,8.346934505126601
58,36115,Washington,11.4,16.0,4.2,55913.0,0.826528500473037,20.408572894132302,38.160975936127,12.3084814558755
59,36117,Wayne,9.6,14.6,4.1,61118.0,0.903470908230842,22.2927241962775,34.588268471517196,10.5564955818763
60,36119,Westchester,8.3,10.3,3.9,94521.0,1.39724751655629,48.185771475078,19.5609933359161,12.2123317086062
61,36121,Wyoming,9.9,12.2,4.6,57709.0,0.853077696310312,16.5419983530058,40.6979138073017,10.3692012077958
62,36123,Yates,12.7,21.1,3.8,51089.0,0.755218188268685,24.4080255467856,34.0001205037055,13.7795987226607
