,FIPS,State Abrv,Area Name,Population Estimate (2018)
0,0,US,United States,326687501
1,1000,AL,Alabama,4887681
2,1001,AL,Autauga County,55533
3,1003,AL,Baldwin County,217855
4,1005,AL,Barbour County,24872
5,1007,AL,Bibb County,22367
6,1009,AL,Blount County,57771
7,1011,AL,Bullock County,10174
8,1013,AL,Butler County,19631
9,1015,AL,Calhoun County,114331
10,1017,AL,Chambers County,33600
11,1019,AL,Cherokee County,26014
12,1021,AL,Chilton County,44163
13,1023,AL,Choctaw County,12833
14,1025,AL,Clarke County,23918
15,1027,AL,Clay County,13294
16,1029,AL,Cleburne County,15010
17,1031,AL,Coffee County,51950
18,1033,AL,Colbert County,55004
19,1035,AL,Conecuh County,12292
20,1037,AL,Coosa County,10643
21,1039,AL,Covington County,36953
22,1041,AL,Crenshaw County,13825
23,1043,AL,Cullman County,83418
24,1045,AL,Dale County,49143
25,1047,AL,Dallas County,38294
26,1049,AL,DeKalb County,71407
27,1051,AL,Elmore County,81011
28,1053,AL,Escambia County,36524
29,1055,AL,Etowah County,102611
30,1057,AL,Fayette County,16445
31,1059,AL,Franklin County,31298
32,1061,AL,Geneva County,26306
33,1063,AL,Greene County,8209
34,1065,AL,Hale County,14749
35,1067,AL,Henry County,17173
36,1069,AL,Houston County,104770
37,1071,AL,Jackson County,51621
38,1073,AL,Jefferson County,659429
39,1075,AL,Lamar County,13882
40,1077,AL,Lauderdale County,92604
41,1079,AL,Lawrence County,32941
42,1081,AL,Lee County,163656
43,1083,AL,Limestone County,96177
44,1085,AL,Lowndes County,9974
45,1087,AL,Macon County,18321
46,1089,AL,Madison County,367004
47,1091,AL,Marengo County,19056
48,1093,AL,Marion County,29750
49,1095,AL,Marshall County,96170
50,1097,AL,Mobile County,413908
51,1099,AL,Monroe County,21062
52,1101,AL,Montgomery County,226504
53,1103,AL,Morgan County,119203
54,1105,AL,Perry County,9070
55,1107,AL,Pickens County,19980
56,1109,AL,Pike County,33242
57,1111,AL,Randolph County,22727
58,1113,AL,Russell County,57784
59,1115,AL,St. Clair County,88654
60,1117,AL,Shelby County,215583
61,1119,AL,Sumter County,12634
62,1121,AL,Talladega County,80137
63,1123,AL,Tallapoosa County,40535
64,1125,AL,Tuscaloosa County,208319
65,1127,AL,Walker County,63669
66,1129,AL,Washington County,16402
67,1131,AL,Wilcox County,10599
68,1133,AL,Winston County,23693
69,2000,AK,Alaska,735139
70,2013,AK,Aleutians East Borough,3395
71,2016,AK,Aleutians West Census Area,5640
72,2020,AK,Anchorage Municipality,290521
73,2050,AK,Bethel Census Area,18219
74,2060,AK,Bristol Bay Borough,880
75,2068,AK,Denali Borough,2032
76,2070,AK,Dillingham Census Area,4991
77,2090,AK,Fairbanks North Star Borough,98565
78,2100,AK,Haines Borough,2488
79,2105,AK,Hoonah-Angoon Census Area,2155
80,2110,AK,Juneau City and Borough,32037
81,2122,AK,Kenai Peninsula Borough,58561
82,2130,AK,Ketchikan Gateway Borough,13856
83,2150,AK,Kodiak Island Borough,13250
84,2158,AK,Kusilvak Census Area,8323
85,2164,AK,Lake and Peninsula Borough,1596
86,2170,AK,Matanuska-Susitna Borough,107115
87,2180,AK,Nome Census Area,10053
88,2185,AK,North Slope Borough,9850
89,2188,AK,Northwest Arctic Borough,7694
90,2195,AK,Petersburg Borough,3244
91,2198,AK,Prince of Wales-Hyder Census Area,6360
92,2220,AK,Sitka City and Borough,8554
93,2230,AK,Skagway Municipality,1169
94,2240,AK,Southeast Fairbanks Census Area,6937
95,2261,AK,Valdez-Cordova Census Area,9161
96,2275,AK,Wrangell City and Borough,2538
97,2282,AK,Yakutat City and Borough,596
98,2290,AK,Yukon-Koyukuk Census Area,5359
99,4000,AZ,Arizona,7158024
100,4001,AZ,Apache County,71731
101,4003,AZ,Cochise County,126411
102,4005,AZ,Coconino County,142523
103,4007,AZ,Gila County,53801
104,4009,AZ,Graham County,37995
105,4011,AZ,Greenlee County,9448
106,4012,AZ,La Paz County,21039
107,4013,AZ,Maricopa County,4402403
108,4015,AZ,Mohave County,209292
109,4017,AZ,Navajo County,110242
110,4019,AZ,Pima County,1036554
111,4021,AZ,Pinal County,446806
112,4023,AZ,Santa Cruz County,46395
113,4025,AZ,Yavapai County,231772
114,4027,AZ,Yuma County,211612
115,5000,AR,Arkansas,3009733
116,5001,AR,Arkansas County,17726
117,5003,AR,Ashley County,20012
118,5005,AR,Baxter County,41624
119,5007,AR,Benton County,272266
120,5009,AR,Boone County,37385
121,5011,AR,Bradley County,10838
122,5013,AR,Calhoun County,5227
123,5015,AR,Carroll County,28097
124,5017,AR,Chicot County,10442
125,5019,AR,Clark County,22313
126,5021,AR,Clay County,14763
127,5023,AR,Cleburne County,24994
128,5025,AR,Cleveland County,7995
129,5027,AR,Columbia County,23586
130,5029,AR,Conway County,20825
131,5031,AR,Craighead County,108816
132,5033,AR,Crawford County,63379
133,5035,AR,Crittenden County,48363
