,FIPS,State Abrv,Area Name,% Total Population in Poverty (2018),% Children Ages 0-17 in Poverty (2018)
0,0,US,United States,13.1,18.0
1,1000,AL,Alabama,16.8,23.9
2,1001,AL,Autauga County,13.8,19.3
3,1003,AL,Baldwin County,9.8,13.9
4,1005,AL,Barbour County,30.9,43.9
5,1007,AL,Bibb County,21.8,27.8
6,1009,AL,Blount County,13.2,18.0
7,1011,AL,Bullock County,42.5,68.3
8,1013,AL,Butler County,24.5,36.3
9,1015,AL,Calhoun County,19.5,26.5
10,1017,AL,Chambers County,18.7,30.7
11,1019,AL,Cherokee County,16.3,24.7
12,1021,AL,Chilton County,17.3,23.3
13,1023,AL,Choctaw County,22.1,32.1
14,1025,AL,Clarke County,22.8,31.7
15,1027,AL,Clay County,17.6,25.8
16,1029,AL,Cleburne County,16.0,22.9
17,1031,AL,Coffee County,13.8,21.9
18,1033,AL,Colbert County,13.8,21.0
19,1035,AL,Conecuh County,24.4,40.1
20,1037,AL,Coosa County,18.9,30.1
21,1039,AL,Covington County,19.9,29.5
22,1041,AL,Crenshaw County,19.5,30.8
23,1043,AL,Cullman County,14.5,19.7
24,1045,AL,Dale County,16.2,24.4
25,1047,AL,Dallas County,31.4,48.0
26,1049,AL,DeKalb County,21.3,29.6
27,1051,AL,Elmore County,11.2,16.3
28,1053,AL,Escambia County,23.6,32.8
29,1055,AL,Etowah County,17.5,28.8
30,1057,AL,Fayette County,23.5,37.4
31,1059,AL,Franklin County,19.2,30.1
32,1061,AL,Geneva County,21.3,29.5
33,1063,AL,Greene County,30.1,44.0
34,1065,AL,Hale County,25.6,35.6
35,1067,AL,Henry County,17.9,27.2
36,1069,AL,Houston County,16.5,21.9
37,1071,AL,Jackson County,19.7,26.8
38,1073,AL,Jefferson County,16.1,22.6
39,1075,AL,Lamar County,17.4,25.3
40,1077,AL,Lauderdale County,14.0,17.9
41,1079,AL,Lawrence County,19.3,31.4
42,1081,AL,Lee County,19.0,19.3
43,1083,AL,Limestone County,11.4,15.8
44,1085,AL,Lowndes County,25.1,39.6
45,1087,AL,Macon County,30.2,39.7
46,1089,AL,Madison County,11.9,16.9
47,1091,AL,Marengo County,24.0,34.5
48,1093,AL,Marion County,20.2,27.4
49,1095,AL,Marshall County,18.3,27.9
50,1097,AL,Mobile County,20.8,31.4
51,1099,AL,Monroe County,21.9,31.6
52,1101,AL,Montgomery County,20.1,31.3
53,1103,AL,Morgan County,13.2,20.1
54,1105,AL,Perry County,35.3,52.8
55,1107,AL,Pickens County,23.1,30.8
56,1109,AL,Pike County,23.6,30.6
57,1111,AL,Randolph County,19.7,31.4
58,1113,AL,Russell County,21.7,31.6
59,1115,AL,St. Clair County,12.0,15.0
60,1117,AL,Shelby County,8.0,8.9
61,1119,AL,Sumter County,34.7,48.1
62,1121,AL,Talladega County,19.3,26.4
63,1123,AL,Tallapoosa County,19.7,30.7
64,1125,AL,Tuscaloosa County,16.8,20.9
65,1127,AL,Walker County,17.9,24.7
66,1129,AL,Washington County,17.6,25.8
67,1131,AL,Wilcox County,33.4,50.6
68,1133,AL,Winston County,18.6,27.6
69,2000,AK,Alaska,11.1,14.5
70,2013,AK,Aleutians East Borough,15.5,12.5
