,FIPS,State Abrv,Area Name,% Unemployment (2018),Median Household Income (2018),Median Household Income % of State Total (2018)
0,0,US,United States,3.8953745219331086,61937.0,
1,1000,AL,Alabama,3.9,49881.0,100.0
2,1001,AL,"Autauga County, AL",3.6,59338.0,118.9591227120547
3,1003,AL,"Baldwin County, AL",3.6,57588.0,115.45077283935767
4,1005,AL,"Barbour County, AL",5.1,34382.0,68.92804875603937
5,1007,AL,"Bibb County, AL",3.9,46064.0,92.34778773480885
6,1009,AL,"Blount County, AL",3.5,50412.0,101.06453358994408
7,1011,AL,"Bullock County, AL",4.6,29267.0,58.67364327098494
8,1013,AL,"Butler County, AL",4.7,37365.0,74.90828171047093
9,1015,AL,"Calhoun County, AL",4.6,45400.0,91.0166195545398
10,1017,AL,"Chambers County, AL",3.8,39917.0,80.02445821054108
11,1019,AL,"Cherokee County, AL",3.5,42132.0,84.46502676369761
12,1021,AL,"Chilton County, AL",3.6,47547.0,95.32086365550009
13,1023,AL,"Choctaw County, AL",5.4,39907.0,80.00441049698281
14,1025,AL,"Clarke County, AL",7.4,40741.0,81.67638980774242
15,1027,AL,"Clay County, AL",3.8,39201.0,78.58904191976906
16,1029,AL,"Cleburne County, AL",4.2,46495.0,93.21184418917022
17,1031,AL,"Coffee County, AL",3.9,55122.0,110.50700667588862
18,1033,AL,"Colbert County, AL",4.5,49055.0,98.344058860087
19,1035,AL,"Conecuh County, AL",5.1,32613.0,65.38160822758165
20,1037,AL,"Coosa County, AL",4.1,42423.0,85.04841522824323
21,1039,AL,"Covington County, AL",4.5,40203.0,80.59782281830758
22,1041,AL,"Crenshaw County, AL",4.0,39057.0,78.30035484452999
23,1043,AL,"Cullman County, AL",3.2,45796.0,91.81050901144725
24,1045,AL,"Dale County, AL",4.1,45309.0,90.83418536115956
25,1047,AL,"Dallas County, AL",6.4,34035.0,68.23239309556745
26,1049,AL,"DeKalb County, AL",3.8,39491.0,79.17042561295884
27,1051,AL,"Elmore County, AL",3.4,60367.0,121.02203243720054
28,1053,AL,"Escambia County, AL",4.5,38418.0,77.01930594815661
29,1055,AL,"Etowah County, AL",4.0,44903.0,90.02024819069385
30,1057,AL,"Fayette County, AL",4.0,39254.0,78.69529480162788
31,1059,AL,"Franklin County, AL",3.7,39388.0,78.96393416330868
32,1061,AL,"Geneva County, AL",3.9,37823.0,75.82646699143962
33,1063,AL,"Greene County, AL",6.6,28524.0,57.184098153605575
34,1065,AL,"Hale County, AL",5.0,34724.0,69.61368055973216
35,1067,AL,"Henry County, AL",4.4,46027.0,92.27361119464325
36,1069,AL,"Houston County, AL",4.0,47993.0,96.21499168019886
37,1071,AL,"Jackson County, AL",4.0,41929.0,84.05805817846475
38,1073,AL,"Jefferson County, AL",3.7,55013.0,110.28848659810349
39,1075,AL,"Lamar County, AL",3.7,40936.0,82.06732022212867
40,1077,AL,"Lauderdale County, AL",4.1,48707.0,97.64639842825926
41,1079,AL,"Lawrence County, AL",4.1,43909.0,88.02750546300194
42,1081,AL,"Lee County, AL",3.6,48937.0,98.10749584009943
43,1083,AL,"Limestone County, AL",3.5,64863.0,130.03548445299813
44,1085,AL,"Lowndes County, AL",7.2,33973.0,68.10809727150618
45,1087,AL,"Macon County, AL",5.3,32495.0,65.14504520759408
46,1089,AL,"Madison County, AL",3.4,63755.0,127.81419779074197
47,1091,AL,"Marengo County, AL",4.9,37733.0,75.6460375694152
48,1093,AL,"Marion County, AL",4.0,37887.0,75.95477235821254
49,1095,AL,"Marshall County, AL",3.3,46233.0,92.68659409394358
50,1097,AL,"Mobile County, AL",4.6,43598.0,87.40402157133978
51,1099,AL,"Monroe County, AL",6.0,39556.0,79.30073575108759
52,1101,AL,"Montgomery County, AL",3.9,49640.0,99.51685010324573
53,1103,AL,"Morgan County, AL",3.4,52797.0,105.84591327359114
54,1105,AL,"Perry County, AL",6.4,26814.0,53.75593913514164
55,1107,AL,"Pickens County, AL",4.5,37586.0,75.35133618010866
56,1109,AL,"Pike County, AL",4.5,37259.0,74.69577594675327
57,1111,AL,"Randolph County, AL",4.0,40546.0,81.28545939335619
58,1113,AL,"Russell County, AL",4.0,39104.0,78.39457909825384
59,1115,AL,"St. Clair County, AL",3.4,57284.0,114.84132234718632
60,1117,AL,"Shelby County, AL",2.8,75663.0,151.6870150959283
61,1119,AL,"Sumter County, AL",5.7,27859.0,55.850925201980715
62,1121,AL,"Talladega County, AL",4.2,41630.0,83.45863154307251
63,1123,AL,"Tallapoosa County, AL",4.1,42205.0,84.61137507267296
64,1125,AL,"Tuscaloosa County, AL",3.6,52557.0,105.3647681481927
65,1127,AL,"Walker County, AL",4.2,45434.0,91.08478178063791
66,1129,AL,"Washington County, AL",5.7,44424.0,89.05996271125278
67,1131,AL,"Wilcox County, AL",9.4,25385.0,50.89112086766504
68,1133,AL,"Winston County, AL",4.1,41156.0,82.50836992041057
69,2000,AK,Alaska,6.5,74912.0,100.0
70,2013,AK,"Aleutians East Borough, AK",3.1,70081.0,93.55109995728321
71,2016,AK,"Aleutians West Census Area, AK",3.5,82633.0,110.30675993165313
72,2020,AK,"Anchorage Borough/municipality, AK",5.4,82113.0,109.6126121315677
73,2050,AK,"Bethel Census Area, AK",12.7,44304.0,59.14139256727894
74,2060,AK,"Bristol Bay Borough, AK",6.1,77257.0,103.1303395984622
75,2068,AK,"Denali Borough, AK",7.8,75477.0,100.75421828278512
76,2070,AK,"Dillingham Census Area, AK",8.0,54524.0,72.7840666381888
77,2090,AK,"Fairbanks North Star Borough, AK",5.7,74268.0,99.1403246475865
78,2100,AK,"Haines Borough, AK",9.6,58943.0,78.68298803929945
79,2105,AK,"Hoonah-Angoon Census Area, AK",12.4,51188.0,68.33084152071764
80,2110,AK,"Juneau Borough/city, AK",4.3,79173.0,105.6880072618539
81,2122,AK,"Kenai Peninsula Borough, AK",7.5,65439.0,87.35449594190516
